run_number,deaths,life_years_lost,vaccine_n
26227,40249.87,1100375.42,3014632
26228,35048.83,1051657.75,1914013
26229,54186.41,1279245.01,10847944
26230,44621.59,1077315.75,6880584
26231,35433.16,947052.01,5078228
26232,32162.15,947136.05,3464062
26233,43465.23,999836.73,13669041
26234,39903.43,940570.69,9213153
26235,31575.2,821580.41,7620468
26236,29274.27,837887.16,5361557
26237,31728.51,711555.51,16609085
26238,33360.54,766686.16,12363906
26239,26618.24,672627.58,10677598
26240,26352.4,728644.56,7587348
26241,22234.01,487258.66,19589588
26242,29389.44,658942.74,15686354
26243,23518.91,578696.99,13992880
26244,23616.93,630977.02,10229899
26245,19514.03,423781.55,22321019
26246,25652.78,565823.49,19097998
26247,20716.26,500050.23,17502502
26248,21107.35,547688.69,13440913
26249,17285.05,372913.6,24590400
26250,22599.03,489986.47,22187008
26251,18343.97,434354.55,21033028
26252,17942.62,453269.93,17305766
26253,13110.03,276911.83,26452714
26254,16550.41,356232.2,24857900
26255,13441.12,312254.35,24673968
26256,9891.18,242602.79,21656617
26257,7916.05,170116.69,28298282
26258,2065.81,43219.11,27923107
26259,1692.82,38192.1,28521011
26260,395.06,9074.29,26467737
26261,419.35,7546.57,30238620
26262,497.33,9201.72,31164959
26263,428.56,8827.85,32507592
26264,380.97,8714.51,31745218
26265,418.79,7520.03,32202314
26266,494.96,9144.02,34368738
26267,428.62,8821.33,36473947
26268,385.61,8807.86,37681415
26269,62397.84,1511303.65,8569839
26270,50919.75,1271291.44,4748304
26271,41006.59,1134203.21,2769921
26272,34228.44,1041562.3,1657703
26273,52924.91,1260648.67,10837715
26274,43846.36,1071693.26,6850994
26275,35565.15,971191.22,4422852
26276,30912.67,932240.22,2896483
26277,43906.68,1025811.8,13398845
26278,38408.44,912567.63,9093542
26279,31126.37,829348.92,6486736
26280,28117.18,830908.22,4446783
26281,34303.73,776541.72,16220663
26282,34181.35,790161.78,11427634
26283,27569.57,713101.84,9029020
26284,25334.96,725363.96,6344402
26285,24067.48,527037.35,19157650
26286,28246.7,633544.72,14576383
26287,22985.16,575279.37,12086205
26288,22552.65,620984.74,8570132
26289,16448.75,349274.23,22142956
26290,24612.56,535649.89,17898774
26291,20118.29,488310.74,15401475
26292,19986.9,529249.5,11212860
26293,14495.69,304236.77,24872126
26294,21289.31,453657.8,21307127
26295,17580.03,417253.98,18911136
26296,17675.39,452770.92,14423635
26297,12973.98,270218.4,27141964
26298,18748.24,391510.53,24399701
26299,15561.52,361349.28,22441399
26300,14754.69,366669.29,18288715
26301,9963.17,202265.55,29005747
26302,13535.3,280008.4,27070615
26303,11245.75,255336.33,26082366
26304,6606.4,158889.86,22639578
26305,6013.41,125088.23,30851792
26306,1542.59,30984.79,30136042
26307,1316.77,28987.65,29929458
26308,381.54,8724.53,27450570
26309,413.9,7391.26,32790245
26310,494.17,9091.16,33377777
26311,424.87,8719.66,33916045
26312,374.57,8542.78,32728131
26313,414.21,7385.6,34753099
26314,492.95,9062.66,36581669
26315,425.73,8733.78,37882670
