run_number,deaths,life_years_lost,vaccine_n
6392,98434.74,2659602.11,6908164
6393,71505.38,1006193.47,12551007
6394,55446.29,866069.68,13031938
6395,60121.98,1272162.51,13280808
6396,91781.82,2425018.8,12842049
6397,55770.52,785792.51,14492214
6398,42471.04,658125.76,16274136
6399,46514.59,967727.51,17268294
6400,80035.18,2035827.07,18119241
6401,11950.71,178734.64,16340355
6402,5641.08,88647.54,19339142
6403,6930.91,146408.91,21116334
6404,34605.74,832012.59,22933265
6405,575.27,9462.6,18199713
6406,545.17,9642.76,22009949
6407,587.99,13242.54,24754904
6408,1324.47,34199.51,27279559
6409,499.38,8374.79,20468650
6410,536.27,9489.8,25102435
6411,578.67,13043.74,28285210
6412,943.58,25428.06,31144391
6413,479.63,8092.68,23202171
6414,531.06,9403.1,28511811
6415,573.11,12933.58,31794675
6416,889.62,24138.98,34354846
6417,55835.63,778864.05,13570893
6418,60598.59,912683.06,13150082
6419,63570.61,1312607.34,12629846
6420,89441.04,2329230.39,9547580
6421,49782.49,688301.22,15536319
6422,49057.39,748101.17,16353763
6423,53416.97,1110752.76,16596663
6424,82589.27,2102080.08,15485761
6425,33562.87,463404.95,17475920
6426,36420.76,550920.62,19598865
6427,40081.55,819766.09,20582106
6428,68367.06,1667673.09,20760633
6429,1535.52,23849.21,19322539
6430,2900.75,45293.07,22660767
6431,3553.07,74500.03,24429074
6432,5464.06,127924.78,25571739
6433,466.04,7882.87,21182011
6434,536.91,9491.45,25331921
6435,577.69,13016.1,28069968
6436,957.77,25643.67,29922314
6437,457.42,7764.99,23451405
6438,532.56,9414.71,28424369
6439,573.71,12930.62,31600260
6440,881.52,23918.97,33785481
6441,49347.48,684147.66,16303247
6442,53323.29,790738.4,16559106
6443,56566.63,1154597.01,16138846
6444,80951.38,2038159.65,12760401
6445,43935.21,603212.98,18266286
6446,42957.99,645581.95,19763010
6447,47319.33,974466.08,20106382
6448,74155.69,1826435.65,18694265
6449,29466.21,403966.18,20207860
6450,30924.64,460836.79,23004782
6451,34397.34,696881.25,24095681
6452,55028.37,1294680.79,23974339
6453,1130.59,17814.69,22051499
6454,1571.23,24909.97,26069944
6455,1887.78,39760.71,27938522
6456,1489.32,37204.52,28781313
6457,460.06,7801.01,23915331
6458,531.97,9410.31,28741231
6459,572.66,12917.82,31579359
6460,893.11,24138.82,33131425
6461,43765.06,604490.92,18574684
6462,47615.38,692900.6,19651559
6463,50643.75,1017669.56,19673153
6464,70186.47,1707763.03,16622132
6465,38837.51,530590.28,20535700
6466,38281.38,564458.75,22855294
6467,42280.36,858142.58,23636010
6468,62969.74,1499833.34,22558976
6469,24914.61,339188.44,22476418
6470,26542.48,387388.96,26097148
6471,29599.57,590495.89,27622803
6472,23209.62,527659.17,27835007
6473,728.97,11841.59,24320744
6474,881.48,14470.92,29162378
6475,1018.35,21760.43,31468967
6476,957.2,25494.82,32645535
6477,33150.82,448075.93,20434256
6478,35057.94,509042.98,22323123
6479,37642.76,748259.71,23309950
6480,47117.56,1100289.43,20974811
6481,27956.99,371115.94,22397378
6482,26563.35,392070.15,25530061
6483,29876.56,601960.05,27276706
6484,31020.85,711469.66,26908185
6485,6945.32,89291.66,24339431
6486,4021.9,59938.74,28768032
6487,5133.33,105207.02,31262950
6488,1093.97,28453.38,32185297
6489,18395.17,261577.23,22278998
6490,4700.93,70152.85,25387981
6491,5390.28,110049.64,27158297
6492,967.61,25691.93,25782459
6493,12458.58,174846.38,24243320
6494,1401.94,22396.09,28592517
6495,1734.05,36767.16,31123604
6496,914.01,24559,31722351
6497,458.39,7781.97,24220094
6498,541.96,9517.59,28629685
6499,579.64,13002.67,31143398
6500,856.27,23268.76,31059698
6501,455.08,7735.18,26183454
6502,530.42,9378.99,31833520
6503,571.92,12899.05,35110029
6504,861.52,23433.68,36995670
6505,143271.02,2166153.89,2552624
6506,98247.62,1646867.69,2212887
6507,108160.24,2542718.21,1407886
6508,124203.09,3686978.66,980157
6509,138507.46,2088247.99,4514479
6510,85818.9,1453290.97,5416965
6511,92343.84,2131670.49,5374247
6512,118250.45,3450613.96,6917009
6513,129977.86,1962399.89,6456242
